Gene_ID	Group
ENSDARG00000042382	maternal
ENSDARG00000042401	maternal
ENSDARG00000042456	maternal
ENSDARG00000042509	maternal
ENSDARG00000042522	maternal
ENSDARG00000042527	maternal
ENSDARG00000042561	maternal
ENSDARG00000042623	maternal
ENSDARG00000042628	maternal
ENSDARG00000042658	maternal
ENSDARG00000042688	maternal
ENSDARG00000042701	maternal
ENSDARG00000042727	maternal
ENSDARG00000042777	maternal
ENSDARG00000042902	maternal
ENSDARG00000042929	maternal
ENSDARG00000042990	maternal
ENSDARG00000042995	maternal
ENSDARG00000042997	maternal
ENSDARG00000043011	maternal
ENSDARG00000043012	maternal
ENSDARG00000043034	maternal
ENSDARG00000043055	maternal
ENSDARG00000043105	maternal
ENSDARG00000043211	maternal
ENSDARG00000043226	maternal
ENSDARG00000043287	maternal
ENSDARG00000043296	maternal
ENSDARG00000043307	maternal
ENSDARG00000043317	maternal
ENSDARG00000043336	maternal
ENSDARG00000043339	maternal
ENSDARG00000043359	maternal
ENSDARG00000043360	maternal
ENSDARG00000043404	maternal
ENSDARG00000043480	maternal
ENSDARG00000043510	maternal
ENSDARG00000043548	maternal
ENSDARG00000043562	maternal
ENSDARG00000043566	maternal
ENSDARG00000043607	maternal
ENSDARG00000043624	maternal
ENSDARG00000043635	maternal
ENSDARG00000043640	maternal
ENSDARG00000043665	maternal
ENSDARG00000043687	maternal
ENSDARG00000043692	maternal
ENSDARG00000043713	maternal
ENSDARG00000043718	maternal
ENSDARG00000043734	maternal
ENSDARG00000043740	maternal
ENSDARG00000043816	maternal
ENSDARG00000043877	maternal
ENSDARG00000043898	maternal
ENSDARG00000043970	maternal
ENSDARG00000044002	maternal
ENSDARG00000044038	maternal
ENSDARG00000044061	maternal
ENSDARG00000044083	maternal
ENSDARG00000044097	maternal
ENSDARG00000044135	maternal
ENSDARG00000044142	maternal
ENSDARG00000044179	maternal
ENSDARG00000044203	maternal
ENSDARG00000044404	maternal
ENSDARG00000044417	maternal
ENSDARG00000044491	maternal
ENSDARG00000044584	maternal
ENSDARG00000044638	maternal
ENSDARG00000044692	maternal
ENSDARG00000044766	maternal
ENSDARG00000044809	maternal
ENSDARG00000044915	maternal
ENSDARG00000044949	maternal
ENSDARG00000044956	maternal
ENSDARG00000045011	maternal
ENSDARG00000045091	maternal
ENSDARG00000045095	maternal
ENSDARG00000045127	maternal
ENSDARG00000045139	maternal
ENSDARG00000045172	maternal
ENSDARG00000045277	maternal
ENSDARG00000045306	maternal
ENSDARG00000045355	maternal
ENSDARG00000045402	maternal
ENSDARG00000045416	maternal
ENSDARG00000045422	maternal
ENSDARG00000045428	maternal
ENSDARG00000045461	maternal
ENSDARG00000045481	maternal
ENSDARG00000045486	maternal
ENSDARG00000045493	maternal
ENSDARG00000045515	maternal
ENSDARG00000045562	maternal
ENSDARG00000045601	maternal
ENSDARG00000045675	maternal
ENSDARG00000045683	maternal
ENSDARG00000045687	maternal
ENSDARG00000045754	maternal
ENSDARG00000045773	maternal
ENSDARG00000045790	maternal
ENSDARG00000045815	maternal
ENSDARG00000045842	maternal
ENSDARG00000045853	maternal
ENSDARG00000045858	maternal
ENSDARG00000045870	maternal
ENSDARG00000045930	maternal
ENSDARG00000045951	maternal
ENSDARG00000046002	maternal
ENSDARG00000046010	maternal
ENSDARG00000046054	maternal
ENSDARG00000046090	maternal
ENSDARG00000046098	maternal
ENSDARG00000046127	maternal
ENSDARG00000046132	maternal
ENSDARG00000046141	maternal
ENSDARG00000051793	maternal
ENSDARG00000051828	maternal
ENSDARG00000051851	maternal
ENSDARG00000051921	maternal
ENSDARG00000051923	maternal
ENSDARG00000051940	maternal
ENSDARG00000051955	maternal
