Ensembl_Gene_ID	Group
ENSDARG00000020354	Top_Maternal_Decay
ENSDARG00000020979	Top_Maternal_Decay
ENSDARG00000020979	Top_Maternal_Decay
ENSDARG00000021022	Top_Maternal_Decay
ENSDARG00000021220	Top_Maternal_Decay
ENSDARG00000021220	Top_Maternal_Decay
ENSDARG00000021220	Top_Maternal_Decay
ENSDARG00000021343	Top_Maternal_Decay
ENSDARG00000021343	Top_Maternal_Decay
ENSDARG00000021794	Top_Maternal_Decay
ENSDARG00000021794	Top_Maternal_Decay
ENSDARG00000021794	Top_Maternal_Decay
ENSDARG00000021806	Top_Maternal_Decay
ENSDARG00000023950	Top_Maternal_Decay
ENSDARG00000023989	Top_Maternal_Decay
ENSDARG00000024488	Top_Maternal_Decay
ENSDARG00000024540	Top_Maternal_Decay
ENSDARG00000024775	Top_Maternal_Decay
ENSDARG00000024775	Top_Maternal_Decay
ENSDARG00000024775	Top_Maternal_Decay
ENSDARG00000024904	Top_Maternal_Decay
ENSDARG00000025043	Top_Maternal_Decay
ENSDARG00000025043	Top_Maternal_Decay
ENSDARG00000025043	Top_Maternal_Decay
ENSDARG00000025375	Top_Maternal_Decay
ENSDARG00000025375	Top_Maternal_Decay
ENSDARG00000026183	Top_Maternal_Decay
ENSDARG00000026183	Top_Maternal_Decay
ENSDARG00000026183	Top_Maternal_Decay
ENSDARG00000026616	Top_Maternal_Decay
ENSDARG00000026616	Top_Maternal_Decay
ENSDARG00000027169	Top_Maternal_Decay
ENSDARG00000027749	Top_Maternal_Decay
ENSDARG00000028379	Top_Maternal_Decay
ENSDARG00000028379	Top_Maternal_Decay
ENSDARG00000028543	Top_Maternal_Decay
ENSDARG00000029058	Top_Maternal_Decay
ENSDARG00000029058	Top_Maternal_Decay
ENSDARG00000029058	Top_Maternal_Decay
ENSDARG00000029064	Top_Maternal_Decay
ENSDARG00000030250	Top_Maternal_Decay
ENSDARG00000030250	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030357	Top_Maternal_Decay
ENSDARG00000030756	Top_Maternal_Decay
ENSDARG00000030756	Top_Maternal_Decay
ENSDARG00000030756	Top_Maternal_Decay
ENSDARG00000030759	Top_Maternal_Decay
ENSDARG00000030759	Top_Maternal_Decay
ENSDARG00000030781	Top_Maternal_Decay
ENSDARG00000030781	Top_Maternal_Decay
ENSDARG00000030781	Top_Maternal_Decay
ENSDARG00000030781	Top_Maternal_Decay
