read_id,read_type,tail_is_valid,tail_start,tail_end,samples_per_nt,tail_length,file_path
7c2e5959-1528-4a74-ab13-a1b7c6c6ee5b,polyT,TRUE,528,668,7.93,17.66,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
be16b8a4-4607-49a2-bb66-b73b5a03ad6d,polyT,TRUE,552,682,7.17,18.13,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
a1fb8408-a2fc-427a-be22-0c1eb382b73f,polyT,TRUE,,,8.28,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
287067ac-24ac-4259-92b8-6072fe41b31e,invalid,FALSE,,,7.41,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
69c82824-2734-4ccb-9c5d-55c0124bf7cd,invalid,FALSE,,,8.93,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
2fb8986b-ad74-465a-99c0-967aacab326e,invalid,FALSE,,,7.61,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
e974acef-022a-406f-954b-bc1119075a47,polyT,TRUE,,,8.1,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
71bde4af-d144-472c-81f1-ce8bf2f3f142,invalid,FALSE,,,13.2,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
2426aad3-c75e-4f5e-84cb-3aeb1068d627,invalid,FALSE,,,7.79,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
be4b1891-2ef1-43ae-8237-176bb99367e1,polyT,TRUE,610,730,8.08,14.85,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
7b32704f-df15-4903-b721-e5d6711801ec,polyT,TRUE,818,888,8,8.75,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
1e17b975-a593-4379-b377-398b049948be,polyT,TRUE,1336,1836,7.23,69.19,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
2ff8270c-43a4-4032-bbb5-74d8436e9e51,polyT,TRUE,470,1040,7.55,75.47,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
be068217-1f3d-4731-b5ad-1f6f56e40ef9,polyT,TRUE,602,752,7.17,20.93,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
37883302-7188-4e1e-8538-e92e77e2eb45,polyT,TRUE,576,736,7.8,20.52,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
f444603b-b9f9-4dc0-8fdd-f0b804cac15c,polyT,TRUE,622,782,7.74,20.67,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
7759a853-4f63-4016-9e54-3ec67ad2fd16,polyT,TRUE,608,748,7.85,17.83,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
82db715f-c9c3-46cd-b84d-46e348869c38,polyT,TRUE,784,1054,9.38,28.79,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
f99a9083-ce9c-4c1c-8243-b2a88ad5c210,polyT,TRUE,,,8.04,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
2a897fe1-9414-47f9-84c0-d194af16c2c8,invalid,FALSE,,,8.5,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
842ba69f-1f80-4ac2-b6af-e5e84015eec8,polyT,TRUE,528,768,8.61,27.87,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
5ae815a3-7669-4d20-9166-fd16bc580247,polyT,TRUE,850,970,7.37,16.27,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
04c9cb3c-070f-4874-bae4-43e7308d303c,polyT,TRUE,1010,1220,9.24,22.72,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
73b0353e-63d8-48e2-b24a-cff73c1f3312,invalid,FALSE,,,7.8,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
b5dfe1fa-a7a1-4cf7-9f92-ae051268c2df,invalid,FALSE,,,8.54,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
b42b457f-4d46-4260-a5dc-18a91f75cafb,invalid,FALSE,,,7.39,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
ac9b032b-3230-430d-8cc5-c172c7b491be,invalid,FALSE,,,7.46,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
6d136f31-e813-4ef0-98ed-75b535def2fc,polyT,TRUE,582,1092,8.3,61.45,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
d19288a5-fffb-4540-93b3-c59cbc398dec,invalid,FALSE,,,10.49,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
384272fe-e8b5-4a31-b34d-a315254f023c,polyT,TRUE,532,862,7.3,45.22,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
d3f2cef4-6bfa-4d52-822c-9a9f5be3afd3,polyT,TRUE,846,986,8.05,17.38,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
